Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,Y_Acryl_Ac,Y_Acryl_Fa,doi,Link_to_excel,Year,SSA_m2g,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg,Cluster_n,Cluster_title,av_cov_rad,av_n_val,var_cov_rad,var_n_val,var_pca,STY0,n
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,MAc,TRX,None,5.0,0.0,0.0,1.6666666666666667,643,1,0.061,0.305,101016jcattod201806019,VPO,2018,48.2,0.3486958108124511,0.0697391621624902,0.0,0.0,1.2762266675735712,0,P-V-Ti,129.4390243902439,5.0,528.6853063652587,0.0,-0.2133352906429726,1.358260815463899,0.05438218841175541
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5072463768115942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4830917874396134,0.0,0.0,0.0096618357487922,MAc,TRX,None,5.0,0.0,0.0,1.6666666666666667,643,1,0.0802,0.401,101016jcattod201806019,VPO-Zr,2018,8.4,0.3486958108124511,0.0697391621624902,0.0,0.0,1.677924241629515,0,P-V-Ti,129.87922705314008,4.990338164251208,543.4395201755,0.0095684846787555,-0.1855323938982382,1.8457717323405531,0.03416151152426513
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5072463768115942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4830917874396134,0.0,0.0,0.0096618357487922,MAc,TRX,None,5.0,0.0,0.0,2.0,653,1,0.044352618025751,0.2217630901287553,101021acsiecr7b03521,1,2018,8.4,0.4184349729749413,0.0836869945949882,0.0,0.0,1.1135211914983825,0,P-V-Ti,129.87922705314008,4.990338164251208,543.4395201755,0.0095684846787555,-0.1855323938982382,1.2854100056599091,0.020930697971226816
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080777190376295,0.0,0.0,0.0,0.8949896525108159,0.0,0.0,0.0,0.0,0.0,0.0969326284515544,0.0,0.0,HAc,TRX,None,3.0,0.0,0.0,2.295081967213115,673,1,0.1413253333333333,0.4239759999999999,101002jctb6360,1,2020,118.2,0.6687244928800516,0.2229081642933505,0.0,0.0,5.670462711866255,1,Si-Cs-P,157.7692307692308,5.923076923076924,214.7928994082833,0.071005917159763,-0.4698624707870394,6.174538753649903,0.14264416644533345
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.0,0.3263888888888889,0.0,0.0,0.0,0.0,0.0,0.3263888888888889,0.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.21,5.0,633,1,0.1277268,0.319317,101039d2cc06618a,1,2023,16.3,0.9581324200026798,0.3832529680010719,0.1262088994988852,0.8630865576590718,7.342751278991897,0,P-V-Ti,123.64583333333334,5.0,641.0481770833333,0.6527777777777778,0.7058754841780003,6.121019378180254,0.025717593390058562
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4126431684398502,0.0,0.2475859010639101,0.0,0.0,0.0,0.0,0.0,0.3397709304962398,0.0,0.0,0.0,0.0,HAc,MeOH,None,0.5,0.0,0.21,1.5,653,1,0.1832424860194942,0.0916212430097471,101016jjcat2024115612,1,2024,60.1,0.1807606985491203,0.3615213970982406,0.0,0.0,1.987382386605672,0,P-V-Ti,124.51268751417292,4.907814970567671,648.7126633991263,0.5788587519087104,0.6240749458614415,1.5770466017124092,0.011522583793579518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1080848099890603,0.0,0.0,0.0,0.8378727850164095,0.0,0.0,0.0,0.0,0.0540424049945301,0.0,0.0,0.0,HAc,TRX,None,3.0,0.0,0.0,5.0,623,1,0.156672,0.470016,101016japcata2023119441,VPO-SiO2,2022,224.2,1.456864073774398,0.4856213579247994,0.0,0.0,13.69498848998295,0,P-V-Ti,122.33333333333331,5.0,470.2222222222221,0.0,-0.2772481710436365,16.843402539714162,0.08831229001720092
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078713419785482,0.0,0.0,0.0,0.0,0.0,0.0,0.1049512263806435,0.0,0.0,0.0,0.8347018184504864,0.0,0.0,0.0,0.0,0.0524756131903217,0.0,0.0,0.0,HAc,TRX,None,3.0,0.0,0.0,5.0,623,1,0.1984775799999999,0.5954327399999999,101016japcata2023119441,VPO1%Mg-SiO2,2022,223.8,1.456864073774398,0.4856213579247994,0.0,0.0,17.349291345101037,0,P-V-Ti,123.2222222222222,4.857142857142858,463.6331569664902,0.4081632653061196,0.2134982273640445,17.411066934725028,0.03944453955303881
0.0,0.0,0.0,0.0,0.0078068144069351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1040908587591352,0.0,0.0,0.0,0.836056897454362,0.0,0.0,0.0,0.0,0.0520454293795676,0.0,0.0,0.0,HAc,TRX,None,3.0,0.0,0.0,5.0,623,1,0.20087336,0.60262008,101016japcata2023119441,VPO1%Ca-SiO2,2022,223.1,1.456864073774398,0.4856213579247994,0.0,0.0,17.558710893741075,0,P-V-Ti,124.88888888888886,4.857142857142858,578.4479717813045,0.4081632653061206,0.3390158191067253,19.182769170742347,0.05177994454937879
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015808709236687,0.0,0.0,0.0,0.8400101282952218,0.0,0.0076185653192751,0.0,0.0,0.0507904354618344,0.0,0.0,0.0,HAc,TRX,None,3.0,0.0,0.0,5.0,623,1,0.2068854,0.6206562,101016japcata2023119441,VPO1%Sr-SiO2,2022,222.5,1.456864073774398,0.4856213579247994,0.0,0.0,18.08423439890675,0,P-V-Ti,125.79365079365078,4.857142857142858,687.3066263542441,0.4081632653061199,0.4580220308432661,19.89338919907439,0.050574274955013425
