Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,Y_Acryl_Ac,Y_Acryl_Fa,doi,Link_to_excel,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg,Cluster_n,Cluster_title,STY0,n,covalent_radius_cordero,en_pauling,electron_affinity,electrophilicity_,lattice_constant,proton_affinity,vdw_radius
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5072463768115942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4830917874396134,0.0,0.0,0.0096618357487922,MAc,TRX,,5.0,0.0,0.0,2.0,653,1,0.044352618025751,0.2217630901287553,101021acsiecr7b03521,1,0.4184349729749413,0.0836869945949882,0.0,0.0,1.1135211914983825,1,P-V-Ti,1.3081386660395795,0.0267064879290814,135.8421399351691,1.8345969749158269,0.6085883448275464,1.2977568257219128,4.85999293029508,745.9635220485852,197.33985757953187
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080777190376295,0.0,0.0,0.0,0.8949896525108159,0.0,0.0,0.0,0.0,0.0,0.0969326284515544,0.0,0.0,HAc,TRX,,3.0,0.0,0.0,2.295081967213115,673,1,0.1413253333333333,0.4239759999999999,101002jctb6360,1,0.6687244928800516,0.2229081642933505,0.0,0.0,5.670462711866255,2,Si-Cs-P,6.865721077643703,0.2715755609696249,125.34647679821421,1.8817704696927624,1.1328928979833206,1.5727912420779937,5.007993128323059,788.3297586758204,208.17818454487585
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.0,0.3263888888888889,0.0,0.0,0.0,0.0,0.0,0.3263888888888889,0.0,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.21,5.0,633,1,0.1277268,0.319317,101039d2cc06618a,1,0.9581324200026798,0.3832529680010719,0.1262088994988852,0.8630865576590718,7.342751278991897,1,P-V-Ti,7.129480372072381,0.0520650652185105,123.89448841475033,2.103871235532645,0.9661989202370292,1.6125044098658818,6.865236679577053,721.7735260491944,190.26919884033842
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4126431684398502,0.0,0.2475859010639101,0.0,0.0,0.0,0.0,0.0,0.3397709304962398,0.0,0.0,0.0,0.0,HAc,MeOH,,0.5,0.0,0.21,1.5,653,1,0.1832424860194942,0.0916212430097471,101016jjcat2024115612,1,0.1807606985491203,0.3615213970982406,0.0,0.0,1.987382386605672,1,P-V-Ti,1.6597950342920034,0.0177163860725335,124.23596383953314,2.0905441233589968,0.9292563453415682,1.5905800538321382,6.759507894839112,722.206200747718,190.4396767407441
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1080848099890603,0.0,0.0,0.0,0.8378727850164095,0.0,0.0,0.0,0.0,0.0540424049945301,0.0,0.0,0.0,HAc,TRX,,3.0,0.0,0.0,5.0,623,1,0.156672,0.470016,101016japcata2023119441,VPO-SiO2,1.456864073774398,0.4856213579247994,0.0,0.0,13.69498848998295,1,P-V-Ti,18.776387517245247,0.1564555728609957,119.2262981280204,1.9193106415284882,1.0220785253345732,1.5278090249900027,5.37057857634575,784.5505292335854,201.13936664571352
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078713419785482,0.0,0.0,0.0,0.0,0.0,0.0,0.1049512263806435,0.0,0.0,0.0,0.8347018184504864,0.0,0.0,0.0,0.0,0.0524756131903217,0.0,0.0,0.0,HAc,TRX,,3.0,0.0,0.0,5.0,623,1,0.1984775799999999,0.5954327399999999,101016japcata2023119441,VPO1%Mg-SiO2,1.456864073774398,0.4856213579247994,0.0,0.0,17.349291345101037,1,P-V-Ti,17.747318840270342,0.0497922756618343,121.61892870778348,1.8514948134209752,0.993119753003474,1.4926985594693203,5.130549076038533,788.6286570386968,198.0411271865231
0.0,0.0,0.0,0.0,0.0078068144069351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1040908587591352,0.0,0.0,0.0,0.836056897454362,0.0,0.0,0.0,0.0,0.0520454293795676,0.0,0.0,0.0,HAc,TRX,,3.0,0.0,0.0,5.0,623,1,0.20087336,0.60262008,101016japcata2023119441,VPO1%Ca-SiO2,1.456864073774398,0.4856213579247994,0.0,0.0,17.558710893741075,1,P-V-Ti,19.76182534965613,0.0696408489819945,125.49124796384073,1.8171364599329998,0.9130667702428059,1.4447786061540968,5.394117021769139,783.2036549030323,204.49748092123238
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015808709236687,0.0,0.0,0.0,0.8400101282952218,0.0,0.0076185653192751,0.0,0.0,0.0507904354618344,0.0,0.0,0.0,HAc,TRX,,3.0,0.0,0.0,5.0,623,1,0.2068854,0.6206562,101016japcata2023119441,VPO1%Sr-SiO2,1.456864073774398,0.4856213579247994,0.0,0.0,18.08423439890675,1,P-V-Ti,20.55601415897794,0.0687067782145213,127.53555793549235,1.8119331333906465,0.9175398488458618,1.4409241588924495,5.449560462555969,783.4158597273165,206.5100544237884
0.0,0.0,0.007431213098437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099082841312494,0.0,0.0,0.0,0.8439445249328219,0.0,0.0,0.0,0.0,0.049541420656247,0.0,0.0,0.0,HAc,TRX,,3.0,0.0,0.0,5.0,623,1,0.21824,0.65472,101016japcata2023119441,VPO1%Ba-SiO2,1.456864073774398,0.4856213579247994,0.0,0.0,19.07676092763148,1,P-V-Ti,21.94215337873341,0.0730720304541891,129.67219146896377,1.8056780004342452,0.9300826832513764,1.4394400386254829,5.332713513289844,783.6314876413255,208.61711386342532
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,HAc,TRX,,3.0,0.0,0.01,2.5,638,1,0.180194,0.540582,1019906jcnkijfct2022036,1,0.728432036887199,0.2428106789623997,0.0,0.0,7.875544947291116,1,P-V-Ti,22.28028647168576,1.1814052517565097,135.88276253559428,1.8368551035919456,0.4756875974554351,1.2395966572503683,4.743750720776688,766.8386952492846,196.9181836351029
0.5114282662476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664936729558546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2220780607965455,0.0,0.0,0.0,HAc,TRX,,5.0,0.0,0.0,2.0,623,1,0.10296,0.5148,101039d3cy00844d,1,0.5827864242127061,0.1165572848425412,0.0,0.0,3.600221414216413,1,P-V-Ti,3.6193996100754258,0.0072016279626914,126.15268818105042,1.7993710960004363,0.5596309390093503,1.1865880081384217,4.728149435164554,751.5481545156633,189.62033269712214
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208753300457327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791246699542674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAc,TRX,,0.5,0.0,0.0,3.6,663,1,0.468512,0.234256,101016jjiec201411014,1,0.7526722312417145,1.505344462483429,0.0,0.0,21.15815834421109,2,Si-Cs-P,24.994331922173103,0.1014415950089922,142.8776200268826,1.6339536975200026,1.169518759982426,1.4463001283150658,5.5786024392230615,820.9807255321408,241.8776200268826
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663,1,0.3347074067112566,0.1673537033556283,101007s1056201720148,gamma-Alumina,0.7461299265281326,1.4922598530562652,1.4922598530562652,0.0,14.9841127666735,0,Al-Si-Cs,15.421394793702524,0.0906536585215644,121.0,1.61,0.43283,0.9274010826249173,4.05,770.1642857142858,184.0
0.9963014203494563,0.0,0.0036985796505435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663,1,0.3451327193793119,0.1725663596896559,101007s1056201720148,1Ba-gamma-Alumina,0.7461299265281326,1.4922598530562652,1.4922598530562652,0.0,15.450831033176437,0,Al-Si-Cs,16.98190906276987,0.1139087296815109,135.78153943983548,1.496779697907643,0.387508856574947,0.8928615489689068,4.202532906985536,770.1642857142858,197.2090352441083
0.9817767030089496,0.0,0.0182232969910503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663,1,0.3991596945210403,0.1995798472605201,101007s1056201720148,5Ba-gamma-Alumina,0.7461299265281326,1.4922598530562652,1.4922598530562652,0.0,17.869499612758542,0,Al-Si-Cs,18.397012450138604,0.0667894104412253,142.82564861280142,1.4428248191359891,0.3659111682266436,0.876401812359837,4.275222118664015,770.1642857142858,203.5037711008013
