Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,g_cat,Fa_mmolmin,Ac_mmolmin,Y_Acryl_Ac,Y_Acryl_Fa,STY_Acryl_mmolhg,doi,Link_to_excel,Density,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg_Ac,STY_Acryl_mmolhg_Fa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,0.44333333333333336,633,1,3.0,0.1018814263843573,0.2547035659608932,0.3368,0.842,1.7156832203125765,10.1016/j.jcat.2019.04.032,1,1.0636978963103265,0.08495440790690428,0.03398176316276171,0.0,0.0,1.7167586749827217,1.7167586749827217
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,2.216666666666667,633,1,3.0,0.5094071319217864,1.2735178298044663,0.1672,0.418,4.258643622866135,10.1016/j.jcat.2019.04.032,,1.0636978963103265,0.4247720395345215,0.1699088158138086,0.0,0.0,4.261313100610319,4.2613131006103195
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,0.44333333333333336,633,1,3.0,0.1018814263843573,0.2547035659608932,0.15,0.375,0.7641106978826797,10.1016/j.jcat.2019.04.032,,1.0636978963103265,0.08495440790690428,0.03398176316276171,0.0,0.0,0.7645896711621386,0.7645896711621385
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,0.44333333333333336,633,1,3.0,0.1018814263843573,0.2547035659608932,0.21880000000000002,0.547,1.114582804644869,10.1016/j.jcat.2019.04.032,,1.0636978963103265,0.08495440790690428,0.03398176316276171,0.0,0.0,1.1152814670018396,1.1152814670018394
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,0.44333333333333336,633,1,3.0,0.1018814263843573,0.2547035659608932,0.26080000000000003,0.652,1.3285338000520193,10.1016/j.jcat.2019.04.032,,1.0636978963103265,0.08495440790690428,0.03398176316276171,0.0,0.0,1.3293665749272383,1.329366574927238
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,0.44333333333333336,633,1,3.0,0.1018814263843573,0.2547035659608932,0.25880000000000003,0.647,1.3183456574135834,10.1016/j.jcat.2019.04.032,,1.0636978963103265,0.08495440790690428,0.03398176316276171,0.0,0.0,1.31917204597841,1.3191720459784098
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,0.44333333333333336,633,1,3.0,0.1018814263843573,0.2547035659608932,0.2804,0.701,1.428377597908689,10.1016/j.jcat.2019.04.032,,1.0636978963103265,0.08495440790690428,0.03398176316276171,0.0,0.0,1.4292729586257575,1.4292729586257575
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,0.44333333333333336,633,1,3.0,0.1018814263843573,0.2547035659608932,0.21800000000000003,0.545,1.1105075475894945,10.1016/j.jcat.2019.04.032,,1.0636978963103265,0.08495440790690428,0.03398176316276171,0.0,0.0,1.1112036554223081,1.1112036554223081
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",3.0,0.0,0.045,0.44,633,1,3.0,0.08935981150959525,0.26807943452878574,0.2795,0.8385,1.4985640390159123,10.1038/s41598-019-53180-8,1,1.06210584973537,0.0894192160856169,0.0298064053618723,0.0,0.0,1.4995602537557955,1.4995602537557955
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",3.0,0.0,0.0225,0.44,633,1,3.0,0.08935981150959525,0.26807943452878574,0.2475,0.7424999999999999,1.3269932009174894,10.1038/s41598-019-53180-8,,1.06210584973537,0.0894192160856169,0.0298064053618723,0.0,0.0,1.327875358871411,1.3278753588714107
