iteration,r2_score,reg__colsample_bytree,reg__gamma,reg__learning_rate,reg__max_depth,reg__min_child_weight,reg__n_estimators,reg__reg_alpha,reg__reg_lambda,reg__subsample
87,0.639709850552682,0.8079427116268381,0.0,1.0,8,1,487,0.0,10.0,0.5
88,0.6757967492666273,0.96609478759732,0.0,1.0,8,1,643,10.0,0.040074004877695774,1.0
89,0.7487879826676397,1.0,0.0,0.11550548925927502,8,1,100,0.0,7.595744951176682,0.5429244821040466
90,0.7521094963703021,0.5,0.0,0.03314932228214541,8,1,424,0.0,0.0,0.5
91,0.7309444009786998,0.5470005536575188,0.0,0.11043753869657649,8,10,786,10.0,0.0,0.5
92,0.7426421782320337,0.5,0.0,0.16231736011553838,5,1,100,0.0,10.0,1.0
93,0.7629300251568389,1.0,0.0,0.07566109767197794,8,1,568,10.0,6.575550906364889,0.5
94,0.7713518766844237,0.5,0.0,0.10835077049461445,8,1,856,10.0,6.622068953759193,0.5
95,0.767056431690055,1.0,0.0,0.08673938155607473,8,1,870,10.0,10.0,0.5
96,0.757649118037251,0.5,0.0,0.10906981700559606,8,1,301,0.0,10.0,0.5
97,0.7747483059973116,0.5,0.0,0.043927221456727075,8,1,1000,5.564296569293671,10.0,0.5
98,0.7449131405345751,0.5,0.0,0.008958933672279904,8,1,1000,0.0,0.0,1.0
99,0.7688340039531767,0.5,0.0,0.0216861505086918,8,1,1000,0.0,10.0,0.5
100,0.7688293556828905,0.5,0.0,0.16018591283633718,8,1,100,0.0,10.0,0.5
