iteration,r2_score,reg__colsample_bylevel,reg__colsample_bytree,reg__gamma,reg__learning_rate,reg__max_depth,reg__min_child_weight,reg__n_estimators,reg__reg_alpha,reg__reg_lambda,reg__subsample
93,0.46361485977505207,0.8527696239927172,0.6912272627662729,1.5803216585978745,0.011292037138904793,3,19,90,4.14348343267068,3.994284276980987,0.6080113394186926
94,0.7549456939201308,0.6,0.6,0.5,0.14693248537872244,5,10,100,3.0,3.0,0.8082243586967165
95,0.7387952491075588,0.6,0.6,0.5,0.1518817767571701,5,10,100,3.0,3.0,0.8205378439043352
96,0.7516780921595888,0.6,0.6,0.5,0.14084315595158098,5,10,100,3.0,3.0,0.7981818422377037
97,0.7507379216154083,0.6,0.6,0.5,0.13470926054462953,4,10,100,3.0,3.0,0.788582461940864
98,0.743340542899403,0.6,0.6,0.5,0.13105525251526703,4,10,100,3.0,3.0,0.7867709214956949
99,0.7505264615031216,0.6,0.6,0.5,0.12932121675981123,5,10,100,3.0,3.0,0.7755032032334725
100,0.758446424433109,0.6,0.6,0.5,0.12977517924722917,5,10,100,3.0,3.0,0.7461282950234148
101,0.7448355283037811,0.6,0.6,0.5,0.1239813061520749,5,10,100,3.0,3.0,0.7618221868466918
102,0.7425826383504944,0.6,0.6,0.5,0.12801912652188255,3,10,100,3.0,3.0,0.7640916929898818
103,0.7492801539684948,0.6311751583009186,0.6,0.5,0.12565415154273496,5,10,100,3.0,3.0,0.7755956527397153
104,0.7465122050967326,0.6,0.6,0.5,0.13153262562008317,5,10,100,3.0,3.0,0.7784087387955116
105,0.7488618351148695,0.6,0.6,0.5,0.1336128537246926,5,10,100,3.0,3.0,0.7817501221952758
106,0.746073226763224,0.6,0.6,0.5,0.13386030081096867,5,10,100,3.0,3.0,0.782840890445604
107,0.744244353007596,0.6,0.6,0.5,0.1363881991098337,5,10,100,3.0,3.0,0.7867200088424864
108,0.7452461925454555,0.6,0.6,0.5,0.1383437926689114,5,10,100,3.0,3.0,0.7894048100672701
