Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Siloxane,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac/Fa,Ratio_Stab/Fa,O_Percentage,LHSV__ml/h/g_,Temperature__K_,STY_MA+AA_(mmol/h/g),reactant_score
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.9186463934840646,-0.19415732811789355,0.0,3.0,0.0,100.0,2.666666666666667,673.0,5.479437961698586,0.6404454630835751
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9186463934840646,-0.19415732811789355,0.0,3.0,0.0,100.0,2.666666666666667,673.0,4.441654779239522,0.6404454630835751
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,1.0,2.0,0.0,2.0,633.0,0.2861124139451171,-0.18104289505166793
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,21.0,1.2,623.0,0.2759276079913607,0.541174243830989
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,21.0,1.2,623.0,0.08603980431965444,0.541174243830989
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,21.0,1.2,623.0,0.2703290256155508,0.541174243830989
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,1.0,2.0,0.0,3.08,633.0,1.463177140327438,-0.18104289505166793
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,1.0,2.0,0.0,3.08,633.0,3.419587658065798,-0.18104289505166793
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,0.5,0.5,0.0,3.08,633.0,6.069304012704706,-0.07730037579244836
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,6.0,1.0,100.0,1.061314669241896,683.0,0.3024225830464325,0.3558548308962515
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,6.0,1.0,100.0,1.061314669241896,653.0,1.445984926025873,0.3558548308962515
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,6.0,1.0,100.0,1.061314669241896,663.0,1.77628058993208,0.3558548308962515
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,6.0,1.0,100.0,1.061314669241896,653.0,0.2558602546059374,0.3558548308962515
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,0.5,0.235,0.0,4.8,663.0,3.634130663173834,0.003929689211018911
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,0.5,0.235,0.0,4.8,663.0,2.371075264188601,0.003929689211018911
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,0.5,0.235,0.0,4.8,663.0,3.786562125771817,0.003929689211018911
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,0.5,0.235,0.0,4.8,663.0,1.891540793050767,0.003929689211018911
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,1.0,2.0,0.0,2.0,653.0,5.376879068075143,-0.18104289505166793
