Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,Y_Acryl_Ac,Y_Acryl_Fa,doi,Link_to_excel,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg,Cluster_n,Cluster_title,av_covalent_radius_cordero,av_nvalence_,var_covalent_radius_cordero,var_nvalence_,STY0,n
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1080848099890603,0.0,0.0,0.0,0.8378727850164095,0.0,0.0,0.0,0.0,0.0540424049945301,0.0,0.0,0.0,HAc,TRX,,3.0,0.0,0.0,5.0,623,1,0.156672,0.470016,101016japcata2023119441,VPO-SiO2,1.456864073774398,0.4856213579247994,0.0,0.0,13.69498848998295,1,P-V-Si,119.2262981280204,4.495046528108277,328.09516469589346,0.2499754631162179,18.77638800256931,0.15645558321257377
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078713419785482,0.0,0.0,0.0,0.0,0.0,0.0,0.1049512263806435,0.0,0.0,0.0,0.8347018184504864,0.0,0.0,0.0,0.0,0.0524756131903217,0.0,0.0,0.0,HAc,TRX,,3.0,0.0,0.0,5.0,623,1,0.1984775799999999,0.5954327399999999,101016japcata2023119441,VPO1%Mg-SiO2,1.456864073774398,0.4856213579247994,0.0,0.0,17.349291345101037,1,P-V-Si,121.61892870778348,4.215914338676477,337.70548426712026,0.8364347979484289,17.747318713535968,0.04979227388212415
0.0,0.0,0.0,0.0,0.0078068144069351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1040908587591352,0.0,0.0,0.0,0.836056897454362,0.0,0.0,0.0,0.0,0.0520454293795676,0.0,0.0,0.0,HAc,TRX,,3.0,0.0,0.0,5.0,623,1,0.20087336,0.60262008,101016japcata2023119441,VPO1%Ca-SiO2,1.456864073774398,0.4856213579247994,0.0,0.0,17.558710893741075,1,P-V-Si,125.49124796384072,4.215626748029056,609.0848712118944,0.8353827071261204,19.761825357583188,0.06964084909351591
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015808709236687,0.0,0.0,0.0,0.8400101282952218,0.0,0.0076185653192751,0.0,0.0,0.0507904354618344,0.0,0.0,0.0,HAc,TRX,,3.0,0.0,0.0,5.0,623,1,0.2068854,0.6206562,101016japcata2023119441,VPO1%Sr-SiO2,1.456864073774398,0.4856213579247994,0.0,0.0,18.08423439890675,1,P-V-Si,127.53555793549236,4.21477618771508,855.5448592271612,0.8322701403061458,20.556014147931464,0.06870677807394661
0.0,0.0,0.007431213098437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099082841312494,0.0,0.0,0.0,0.8439445249328219,0.0,0.0,0.0,0.0,0.049541420656247,0.0,0.0,0.0,HAc,TRX,,3.0,0.0,0.0,5.0,623,1,0.21824,0.65472,101016japcata2023119441,VPO1%Ba-SiO2,1.456864073774398,0.4856213579247994,0.0,0.0,19.07676092763148,1,P-V-Si,129.67219146896375,4.213911906957748,1189.9724771513245,0.8291058823656503,21.94215338559534,0.07307203053146494
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,HAc,TRX,,3.0,0.0,0.01,2.5,638,1,0.180194,0.540582,1019906jcnkijfct2022036,1,0.728432036887199,0.2428106789623997,0.0,0.0,7.875544947291116,1,P-V-Si,135.88276253559428,4.6803717507377485,612.9751854261035,0.2174660315357996,22.28028647168576,1.1814052532120918
0.5114282662476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664936729558546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2220780607965455,0.0,0.0,0.0,HAc,TRX,,5.0,0.0,0.0,2.0,623,1,0.10296,0.5148,101039d3cy00844d,1,0.5827864242127061,0.1165572848425412,0.0,0.0,3.600221414216413,1,P-V-Si,126.15268818105042,4.231059001848015,341.9554081817262,0.9466117376649988,3.619399609991337,0.007201627961308519
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208753300457327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791246699542674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAc,TRX,,0.5,0.0,0.0,3.6,663,1,0.468512,0.234256,101016jjiec201411014,1,0.7526722312417145,1.505344462483429,0.0,0.0,21.15815834421109,2,Si-Cs-Zr,142.8776200268826,3.2809559392432504,3223.5408049970765,1.640107820960693,24.994332928976664,0.10144161188603008
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663,1,0.3347074067112566,0.1673537033556283,101007s1056201720148,gamma-Alumina,0.7461299265281326,1.4922598530562652,1.4922598530562652,0.0,14.9841127666735,0,Al-Si-Cs,121.0,3.0,0.0,0.0,15.421394708222543,0.0906536564180173
0.9963014203494563,0.0,0.0036985796505435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663,1,0.3451327193793119,0.1725663596896559,101007s1056201720148,1Ba-gamma-Alumina,0.7461299265281326,1.4922598530562652,1.4922598530562652,0.0,15.450831033176437,0,Al-Si-Cs,135.78153943983548,2.8427495804272818,1170.9707991331236,0.1325227251169221,16.981909061448942,0.11390872965035673
